Date,State,Review,Rating,Image 1,Image 2
2018-03-21,California,"On Friday March 16th around 3:30 pm I went to Starbucks drive-through on 800 Oakdale Rd., Modesto. I ordered a drink that was supposed to nonfat milk, but they gave me a drink that contained Almond milk. I am highly allergic to almond milk and I had to take emergency actions after taking one drink. The cup was not labeled or written on as their usual procedure. When I went back inside they said “oh sorry we gave you the car's drink that was behind. Here’s yours.” I informed them of the seriousness of their mistake. My hives have finally cleared up. I reported it to Starbucks and I have a case number. They need a policy to ensure they give customers the right order which could be simply restating the order before they hand it to the customer outside the drive-through window.",1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_225457_thumbnail.jpeg,
2017-12-03,Missouri,"Absolutely adore Starbucks coffee, whether bagged, brewed or K-cups. I sometimes have to wait five minutes for a 'pour over' since I often order decaf or 1/2 caf. That I don't understand, especially since it's late afternoon or early evening, when decaf would be needed. However, the coffee is wonderful, service done with a smile and the store atmosphere is welcoming.",4.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_191939_thumbnail.jpg,https://media.consumeraffairs.com/files/cache/reviews/starbucks_191942_thumbnail.jpg
2015-09-23,Texas,"I ordered Caramel Frappuccino from the Starbucks inside the store and found a very long hair hanging inside the cup. The staff never apologize and told us this is not his and he blamed us. Well the manager, he was extremely rude and racism and came, ask us to leave the store or he will call the staff to take us out of the store by force.",1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_36178_thumbnail.jpg,
2015-07-25,California,"I enjoy my coffee everyday. Unfortunately it has to be decaf latte. $3.00/day and with friends goes usually $20.00 bucks. I don't have problem with that, like I said. But I visited the store # 11233 in la 7/23/15 @ 4:47 pm. So, I was going to pay with $100.00 bill & the guy told me that he was not going to honor my money with no reason or apology. He just said no & he sent me to another store to change my bill. I had my kids with me. So I was unable to use my street language. I felt so bad. I can't believe how those people are trained. With no customer service skill @ all. I'm very confident that they lost my business. I have to visit another coffee shop from now on.",1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_31928_thumbnail.jpg,
2013-12-05,Minnesota,"Had a few bad experiences at a local Starbucks, 3 out of the last 5 drinks were wrong. So I wrote a complaint to Starbucks customer relations. About a day later I got an email, that even said they would look into the service at at location. About 2 weeks later, I got a letter and 2 free drink cards sent. I definitely think it's a step in the right directions, some locations have offered great service and this location continued to provide subpar even at times bad service. The reply although won't fix the location, it's a hope it might and definitely more than I have ever received from McDonald's, the 10s of times I've complaint about a particular location, primarily the one right next to my house. So yes all in all the overall customer service I have received from Starbucks have been positive. Attached the letter and coupons, had to cut of the top half of the letter, because my name is in it and unfortunately it also cropped out the Starbucks header.",4.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_7299_thumbnail.jpg,https://media.consumeraffairs.com/files/cache/reviews/starbucks_7300_thumbnail.jpg
2013-07-18,Texas,"I have been having issues with this STARBUCKS location in Humble TX 1501 FM1960. I always order my coffee at 110 degree so it is not too hot for me to drink. There is one particular person who always makes it too hot. This time it was very hot and I was unaware because of the out shield holder. So I took a big drink and scalded my mouth and throat and spitted out the coffee all over my car and spilled the other portion on my lap. I turned my car around to tell them something. When I approached the girl she said it has nothing to do with her and I have nothing to complain about. I became very angry and told her this better not ever happen again. Then once more she gave my wife and I another incident. This time I called the Starbucks number and notified the regional manager and they told me they would send me a $25 gift card. However, this is not justice... This girl owes my wife and I a sincere apology or she should be fired.",1.0,https://media.consumeraffairs.com/files/cache/reviews/starbucks_4900_thumbnail.jpg,
2012-11-06,California,"I always go to the Starbucks in Oakland, on Hegenberger, and I've never really had an issue with service until last night! The Barista ** was rude to me and my children! She seemed very detached from her responsibilities and ability to be friendly. Usually when I come, I only see two girls, ** and **, who are both very sweet and willing to do what it takes to satisfy me and kids. ** always puts a really big smile on my kids’ faces and mine. She's a really sweet girl. Unfortunately she was off tonight. But last night, my kids asked for pastries and ** (""Person in charge?"") ignored my son, due to her deep concern with texting. She never even acknowledged him standing there. ** later helped him. I studied for some time to overhear the night shift complaining about the job to a guy who came in. If she hates her own manager and the way she's treated here, why not quit? It will probably do us good customers some justice! ",1.0,,
2016-06-22,California,Well I'm always trying new things. I love Starbucks and I'm one of the ones that would always be pissed off for tooo much ice and no foam in my drinks but I would always watch them like a hawk and tell them exactly how I like it. But I went in tonight to get a new drink. I kind of knew it was a waste of time just because how much different can it really be from what they have already. So whatever I tried it and omg never again will I try something new from them again. Very disgusting. The drink was horrible. The service was awesome. I got the youth berry and the caramel one. Horrible and $5 each - waste of money. I could have gone next door and got a frozen lemonade from Wendy's for $3 and it would have tasted better.,1.0,,
2007-12-16,Oregon,"When using my debit card, how much and for how long does the Starbuck's company put a hold on a portion of your checking account? I nearly had a NSF because of this.",,,
2015-05-14,California,"We are in hard times as it is and a cup of Starbucks coffee is the most expensive coffee around. That said, I pulled up to a Starbucks drive thru and saw a tip jar hanging out the take out window and thought to myself, ""No way, I must be hallucinating"". I'm seeing way too many tip jars as it is everywhere I go and it sickens me. It's equal to a person saying,""hey if you don't tip me, you are not as cool as the people that do"". Look, I gladly tip at restaurants because it's a way to establish how one is to be treated. Plus, there are other people involved other than the waitress such as the bus boy, etc... ",1.0,,
2014-08-12,California,"Poor service to paying customer than non paying customers - Supervisor Edgar in shorts uniform and barista chubby girl didn't remove non-paying customers by security guard, after removing the two deaf women's argument over one charging plug station with lounge chair. Unresolved issue and not reported to manager of store.",1.0,,
2015-09-01,California,I have been a regular at Starbucks in Concord at Oliver's crossings in port Chicago hwy. One with drive-thru in Burger King lot. I used to love it. Used to be my favorite one. They used to greet me and be fast. But I was gone sick for a week. When I came back I was ignored every time. No hello or nothing. ** rude and fake. They even greeted customers around me. I was invisible. I'll never step foot in there again. Gone way down too with staff. Also older redhead always attitude and pissed at world. She stopped saying hi to me decades ago. ** that store. Thanks.,1.0,,
2021-04-03,Texas,"Personnel handling multiple cups of coffee and touching objects and money and then touching my lid where I have to put my mouth to drink from. Not practicing covid-19 protocol. A person said, ""well we wash our hands."" They do not wash their hands in between every transaction.",1.0,,
2014-12-20,California,"My husband disabled has brain damage as well as some physical disabilities from a car crash. He also happens to be Mexican American. Neither are acceptable it seems to the fine people of Starbucks on Feland and Shaw in Fresno Ca. One day my husband and I sit outside of Starbucks and I go in to make our order and I am standing in line when I hear an Anglo woman complaining about immigrants to one of the Starbucks baristas who to my dismay is totally agreeing with this racist old lady. I felt embarrassed as I am Spanish and felt it was inappropriate. Well I'm waiting for a while in line when my husband knocks on the window to change his drink request with me. Its a hundred and ten degrees outside so he is sweating like mad, also a result of his disability. Well the female blonde haired barista looks at him in horror and says to the racist Anglo lady, ""There's one of them now."" She meant immigrants these two Anglo females were complaining about. She turns to me with this look of hate and condescension and screeches, ""TELL HIM TO PUT HIS SHIRT BACK ON!"" I felt like I wanted to cry because my husband had a huge scar on his chest from the accident. ",1.0,,
2016-07-07,California,"My child's teacher LOVES Starbucks coffee. So at the end of this school year (2015-2016), on June 2 to be exact, I bought a Starbucks' gift card for my child's teacher. I had asked the cashier to put 100.00 on the gift card. The cashier charged me 200.00 instead. Sadly, I didn't realize it until the following day when I checked my bank account and noticed the amount, at which point, I checked the receipt and surely, it was for 200.00. I then called the store to inform them of the incorrect charge. They were very helpful...but unfortunately, I was doomed because now I had to experience the lovely method of which Starbucks provides customer service via their 800 helpline.",1.0,,
2023-04-20,Texas,"For me to come on here and leave a review for your store on town east (New store beside HS) y'all need to do better! Tell your employees to stay off their phones and put effort into doing their jobs or employ people that actually want to work! I waited patiently for my coffee as did everyone else but my frappe tasted like crap! I don't drink Starbucks very often and if I do I go to the one on military and never had an issue there whatsoever l! BUT TODAY, I happen to be in the town east area and decided to treat myself to a frappe! Unfortunately it tasted like crap, and seeing an employee on their phone after receiving my coffee irritated me cause if they put as much attention into doing their job as they do their phone it probably would get them more than one star!!",1.0,,
2014-12-03,California,"Imagine paying 200.00 in cash for an inferior product then finding out you have to call (and call and call) to get the address and a case number to return it at your expense ($16.20), insured, signature required. Oh the best part is it will take 60 days after they receive it to issue my refund. I have been a loyal if not addicted daily customer gold member before there were apps......I have never been treated as poorly as this...and not to mention these ridiculous conditions at the time of purchase (on bottom of gift box in small print), really!!!!! The only thing I can do is stop going there (2,500 to 3,000 a year). Hey you get a few of us and maybe they will do something about it.",1.0,,
2012-06-23,Texas,"Because the incompetent manager, **, at store no. 6723 does not like me, she called a cop on me and told the cop lies about me and said I was barred from the store and the other Starbucks in the district. Since when does a store manager dictate the policies for the district? On that same day, she served me coffee and a brownie a half hour before the cop showed up. She set me up. Before that happened, I was regular loyal customer, and I told my friends and relatives about this incident. They are going to cut up their gold cards.The worst part of this was that the fool manager and the cop yelled at me to get out of the store and the idiot cop did not want to hear my side. I was humiliated in front of the employees and the customers, and that moron, the district manager, won't help me and she loves her. I believe nobody at Starbucks will help me. Maybe it's a blessing in disguise that people find out about this horrible company, because there are better coffee companies out there.",1.0,,
2017-08-10,Pennsylvania,"I'm a Starbucks junkie! Absolutely great customer service at each location I've visited. Expensive, but you get what you pay for. Kudos to Mr. Schultz for his continual brilliance.",5.0,,
2015-06-20,California,"Harlem Starbucks 125th St. The music is way too loud... like a club not a cafe. The place was filthy. People asked me for money as I sat at my table. The owner is so greedy and cheap that he won't hire enough workers. So the place remains disgusting. Avoid this place, find a nice cafe somewhere else.",1.0,,
2014-07-14,California,"According to the Americans with Disabilities Act, I am allowed to bring my service animal anywhere that anyone can go. Thus meaning that I can bring my SERVICE DOG into a Starbucks here in Sacramento, California. I was told to take my service animal outside of this store and tie him up on the bicycle rack that was located on the patio next to parking spaces for vehicles. That means that technically speaking I would have a lawsuit against Starbucks because of my service animal that has his vest, dog tags, and his paperwork. I am sick and tired of being told that I cannot take my service dog where I need him to go with me for my P.T.S.D., T.B.I., AND S.D.D. THIS IS DISCRIMINATION!!!",1.0,,
2017-08-14,California,"Ice coffee very bitter and day old. Food displayed looks old and process ready for their microwave oven. Staff are friendly & busy, hence tables and chairs not maintained throughout the day.",3.0,,
2014-04-04,California,"I was poisoned by my smoothie. After a few hours, my stomachache got worse and worse. Then came 24 hours of extreme vomiting. Could not even keep water down. I got fever, the runs. If I can't keep water down by tomorrow, it is off to the hospital for me. Starbucks needs to pay better attention to product handling and storage. I will never ever go back.",1.0,,
2017-12-21,California,"Starbucks is not taking responsibility for stopping franchisees from blocking access to updates for operating system security from Microsoft and others. This makes the store a haven for thieves and hackers that victimize customers. A boo and hiss is in order, go to McDonald's instead.",2.0,,
2020-02-03,California,"When ordering this morning I clearly asked for a Venti drink. After I waited for a while, they brought my Grande drink and I told the barista that I had ordered a Venti. She said that they had charged me for a Grande and I said ""OK, but I ordered a Venti"" the Barista ""not happy"" started making my drink again and went to the cashier and asked her something which I couldn't hear. When she brought my drink over, she said to go to the cashier to pay the difference. Me, being a customer service supervisor, know the importance of treating your customers with kindness and knowing that if we mess up, we take the loss. What happened here? They made $0.50 but made my experience at this location very disappointing. When someone makes a mistake, own up to it and don't make the customer feel embarrassed.",2.0,,
2017-08-31,Texas,I have not been there in a while. Last time I went the service was horrible. I got a cake ball and a steamed milk and it took forever and they forgot all about our order. I had to complain because it took 30 minutes to receive steamed milk and they were not busy or short handed.,3.0,,
