Date,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-03-21,1.49,6.24,1.3,2.87,8.57
2007-03-22,1.01,4.22,0.25,0.51,7.27
2007-03-23,0.91,3.8,0.78,0.54,5.81
2007-03-24,2.06,8.7,2.57,4.03,11.38
2007-03-25,2.32,9.72,3.22,2.5,6.5
2007-03-26,0.98,4.18,0.76,0.24,6.32
2007-03-27,0.77,3.3,0.0,2.1,2.57
2007-03-28,1.62,6.85,0.78,5.92,9.64
2007-03-29,1.1,4.68,0.81,0.32,7.45
2007-03-30,0.97,4.19,0.76,0.32,5.71
2007-03-31,2.44,10.26,1.82,5.35,12.28
2007-04-01,1.93,8.15,3.21,3.75,13.55
2007-04-02,1.36,5.71,1.22,0.67,11.56
2007-04-03,1.14,4.85,2.52,0.72,5.3
2007-04-04,1.42,5.99,2.38,0.29,10.24
2007-04-05,1.28,5.49,0.75,2.97,7.31
2007-04-06,1.11,4.69,0.0,3.8,6.37
2007-04-07,1.08,4.56,0.78,2.16,4.11
2007-04-08,1.12,4.72,0.0,0.34,2.46
2007-04-09,0.7,2.97,1.85,0.36,2.64
2007-04-10,0.54,2.35,0.15,0.52,1.79
2007-04-11,0.62,2.62,0.0,0.77,4.46
2007-04-12,0.37,1.6,0.0,0.38,1.26
2007-04-13,0.38,1.64,0.0,0.39,1.38
2007-04-14,0.38,1.65,0.0,0.4,1.39
2007-04-15,0.5,2.19,0.0,0.71,2.01
2007-04-16,0.66,2.87,0.66,0.91,3.23
2007-04-17,0.85,3.69,1.06,0.27,4.3
2007-04-18,0.69,3.0,1.1,0.25,2.38
2007-04-19,0.71,3.06,0.51,1.11,3.99
2007-04-20,0.57,2.49,0.74,0.25,2.43
2007-04-21,1.16,5.04,4.57,0.32,7.73
2007-04-22,1.55,6.69,2.96,1.59,7.71
2007-04-23,0.73,3.26,0.97,0.35,4.17
2007-04-24,0.72,3.14,0.78,0.37,4.64
2007-04-25,0.88,3.86,0.0,1.02,6.12
2007-04-26,0.89,3.92,0.92,1.28,4.97
2007-04-27,0.76,3.31,1.23,0.38,3.3
2007-04-28,1.08,4.64,0.0,0.86,0.0
2007-04-29,,,,,
2007-04-30,0.73,3.24,2.11,0.87,1.96
2007-05-01,1.16,5.07,2.78,0.69,5.93
2007-05-02,0.7,3.14,0.0,1.03,2.61
2007-05-03,0.76,3.31,1.32,1.2,5.44
2007-05-04,0.69,3.08,1.57,0.37,2.77
2007-05-05,1.09,4.74,2.02,1.73,7.85
2007-05-06,1.46,6.41,2.23,0.66,7.01
2007-05-07,1.14,4.98,0.66,3.43,6.55
2007-05-08,1.24,5.36,3.18,1.4,6.1
2007-05-09,1.16,5.06,2.1,3.91,6.58
2007-05-10,0.49,2.21,0.66,0.37,2.26
2007-05-11,0.68,3.03,0.64,0.34,4.49
2007-05-12,1.0,4.36,1.56,0.75,7.23
2007-05-13,1.14,4.97,2.51,1.68,6.22
2007-05-14,1.02,4.57,2.21,1.68,3.83
2007-05-15,0.63,2.73,0.0,0.28,3.69
2007-05-16,1.18,5.07,1.54,4.0,6.3
2007-05-17,0.86,3.72,0.7,1.44,5.34
2007-05-18,1.13,4.88,2.27,2.72,5.64
2007-05-19,0.99,4.32,3.25,0.37,4.88
2007-05-20,1.37,5.94,3.76,1.2,5.29
2007-05-21,0.78,3.34,0.0,0.32,6.29
2007-05-22,0.79,3.4,0.65,2.75,2.77
2007-05-23,1.02,4.4,0.66,2.63,5.64
2007-05-24,0.8,3.46,0.66,2.86,3.3
2007-05-25,1.12,4.86,5.6,0.41,4.54
2007-05-26,1.05,4.56,1.65,1.91,5.99
2007-05-27,1.5,6.51,3.03,3.84,7.25
2007-05-28,1.14,4.92,3.16,0.33,6.66
2007-05-29,0.74,3.21,0.0,1.32,3.01
2007-05-30,1.12,4.83,1.56,4.13,5.42
2007-05-31,0.65,2.79,0.65,0.33,2.47
2007-06-01,0.73,3.14,0.0,0.34,5.33
2007-06-02,1.03,4.47,2.76,0.87,5.3
2007-06-03,1.46,6.35,3.46,5.23,5.79
2007-06-04,0.63,2.82,1.1,0.58,3.15
2007-06-05,1.01,4.47,3.11,0.71,4.48
2007-06-06,1.18,5.11,2.31,0.58,8.1
2007-06-07,0.68,2.98,0.68,0.49,2.75
2007-06-08,1.49,6.45,1.94,7.94,7.9
2007-06-09,0.76,3.26,0.61,0.43,4.7
2007-06-10,0.93,4.01,2.92,1.34,4.15
2007-06-11,0.55,2.42,0.0,0.34,3.7
2007-06-12,0.64,2.86,1.31,0.33,2.71
2007-06-13,0.64,2.82,0.66,0.6,3.62
2007-06-14,0.87,3.78,2.31,1.49,4.9
2007-06-15,0.69,3.07,1.58,2.79,3.16
2007-06-16,1.4,5.98,2.28,3.12,7.71
2007-06-17,1.35,5.77,2.86,3.5,6.07
2007-06-18,0.47,2.08,0.0,0.37,2.95
2007-06-19,0.59,2.56,0.68,0.37,3.03
2007-06-20,0.75,3.31,1.22,1.8,3.55
2007-06-21,0.56,2.5,0.65,1.67,2.58
2007-06-22,0.39,1.81,0.0,0.66,2.42
2007-06-23,0.33,1.54,0.0,0.55,1.67
2007-06-24,0.5,2.21,0.0,0.55,2.4
2007-06-25,0.74,3.25,1.38,2.51,3.34
2007-06-26,0.66,2.88,0.67,0.93,3.63
2007-06-27,1.03,4.43,1.81,4.48,5.05
2007-06-28,0.9,3.89,0.0,3.03,6.63
2007-06-29,0.91,3.94,3.03,0.46,4.72
2007-06-30,0.93,3.97,2.12,0.55,5.82
2007-07-01,0.71,3.08,0.67,0.51,3.26
2007-07-02,0.67,2.93,0.71,3.67,2.39
2007-07-03,0.74,3.23,0.32,2.23,3.26
2007-07-04,0.7,3.1,1.62,1.54,3.91
2007-07-05,0.73,3.23,2.03,0.53,2.76
2007-07-06,0.74,3.27,1.96,2.47,2.78
2007-07-07,0.94,4.03,0.69,2.12,7.07
2007-07-08,0.76,3.29,1.27,1.97,3.66
2007-07-09,0.82,3.52,0.64,0.41,6.52
2007-07-10,0.63,2.79,0.05,1.55,3.22
2007-07-11,0.5,2.2,0.7,0.45,3.67
2007-07-12,0.74,3.23,0.71,1.77,4.46
2007-07-13,0.55,2.45,0.0,0.44,3.07
2007-07-14,0.89,3.89,2.62,1.37,4.59
2007-07-15,0.7,3.09,0.66,0.48,4.26
2007-07-16,0.59,2.66,0.58,0.48,2.9
2007-07-17,0.5,2.28,0.59,0.48,2.32
2007-07-18,0.53,2.39,0.63,0.47,3.21
2007-07-19,0.47,2.14,0.74,0.49,2.17
2007-07-20,0.77,3.45,1.47,1.68,3.31
2007-07-21,0.74,3.29,0.3,0.36,5.39
2007-07-22,0.96,4.23,4.93,1.48,3.87
2007-07-23,0.69,3.08,1.21,0.89,2.67
2007-07-24,0.57,2.55,0.0,1.12,3.89
2007-07-25,0.33,1.48,0.0,0.1,1.62
2007-07-26,0.64,2.84,0.68,2.52,3.02
2007-07-27,0.84,3.62,1.28,0.03,4.97
2007-07-28,1.13,4.94,0.63,7.13,4.55
2007-07-29,0.22,1.03,0.0,0.0,0.89
2007-07-30,0.32,1.47,0.0,0.0,1.76
2007-07-31,0.56,2.5,2.28,0.0,2.48
2007-08-01,0.75,3.25,1.12,0.0,6.91
2007-08-02,0.71,3.09,0.33,0.0,4.77
2007-08-03,0.74,3.21,0.67,0.0,6.35
2007-08-04,0.8,3.45,0.38,0.28,5.53
2007-08-05,0.55,2.44,0.12,0.0,4.62
2007-08-06,0.76,3.32,0.76,0.0,5.55
2007-08-07,1.03,4.43,0.3,1.51,6.28
2007-08-08,0.78,3.38,0.73,0.77,6.71
2007-08-09,0.74,3.27,0.13,3.14,4.62
2007-08-10,0.71,3.13,0.23,1.84,5.75
2007-08-11,0.76,3.29,0.82,0.63,7.18
2007-08-12,0.86,3.74,0.78,0.8,5.96
2007-08-13,0.8,3.45,0.06,0.33,7.71
2007-08-14,0.65,2.85,0.66,0.48,4.34
2007-08-15,0.83,3.54,0.23,0.35,6.8
2007-08-16,0.67,2.84,0.67,0.0,5.19
2007-08-17,0.7,2.98,0.17,0.0,5.4
2007-08-18,0.24,1.08,0.0,0.0,1.27
2007-08-19,0.99,4.26,0.71,6.19,4.16
2007-08-20,0.93,3.96,0.72,4.84,5.13
2007-08-21,0.45,1.96,0.0,0.03,2.29
2007-08-22,0.84,3.57,2.12,1.27,5.03
2007-08-23,0.77,3.33,1.74,0.18,3.71
2007-08-24,1.15,4.94,1.31,2.63,6.91
2007-08-25,0.8,3.55,2.88,1.52,3.94
2007-08-26,0.91,4.01,1.07,2.53,3.93
2007-08-27,0.84,3.69,1.6,0.85,4.41
2007-08-28,0.69,3.0,0.72,1.71,3.81
2007-08-29,0.52,2.28,0.66,0.39,3.42
2007-08-30,0.84,3.6,2.65,1.79,2.93
2007-08-31,0.89,3.79,0.83,0.46,6.07
2007-09-01,1.18,5.07,1.73,0.4,6.76
2007-09-02,1.15,5.02,2.51,1.12,6.12
2007-09-03,0.72,3.13,0.43,1.75,3.7
2007-09-04,1.1,4.76,2.03,2.43,6.82
2007-09-05,0.86,3.7,0.0,2.88,4.66
2007-09-06,0.63,2.75,0.0,2.7,2.4
2007-09-07,0.93,4.01,2.52,0.38,6.52
2007-09-08,1.02,4.39,2.32,1.25,6.36
2007-09-09,1.17,5.05,1.52,3.08,6.41
2007-09-10,0.78,3.36,0.65,0.41,3.9
2007-09-11,0.68,2.95,0.65,0.38,4.02
2007-09-12,0.89,3.86,0.0,2.23,5.39
2007-09-13,0.8,3.46,0.82,1.75,2.68
2007-09-14,0.79,3.44,0.63,0.47,4.03
2007-09-15,0.76,3.28,0.0,1.01,4.49
2007-09-16,1.15,4.97,2.17,2.13,6.47
2007-09-17,1.01,4.41,4.62,0.64,4.36
2007-09-18,0.81,3.51,1.31,1.41,3.77
2007-09-19,0.9,3.88,0.0,1.9,5.51
2007-09-20,0.87,3.72,0.73,0.34,6.94
2007-09-21,0.86,3.73,2.17,1.91,4.39
2007-09-22,0.82,3.52,0.66,0.91,5.34
2007-09-23,0.98,4.28,1.97,1.34,5.13
2007-09-24,0.94,4.08,0.65,2.73,5.52
2007-09-25,1.23,5.21,0.64,1.56,6.82
2007-09-26,1.27,5.38,0.74,6.55,3.94
2007-09-27,0.97,4.08,0.74,0.45,5.09
2007-09-28,1.17,4.99,0.69,2.58,6.91
2007-09-29,1.59,6.79,2.84,5.18,5.69
2007-09-30,1.05,4.45,0.98,0.4,7.1
2007-10-01,1.2,5.07,1.05,4.6,4.14
2007-10-02,1.53,6.47,0.35,5.57,8.9
2007-10-03,0.89,3.8,0.68,3.49,2.56
2007-10-04,1.05,4.45,1.67,0.31,6.74
2007-10-05,0.97,4.09,0.0,0.24,6.55
2007-10-06,1.22,5.17,3.36,0.24,6.71
2007-10-07,1.46,6.21,1.73,5.73,7.56
2007-10-08,0.76,3.23,0.0,0.29,3.53
2007-10-09,1.17,4.98,1.41,1.49,6.45
2007-10-10,0.81,3.49,1.29,1.47,2.32
2007-10-11,1.2,5.11,1.83,0.29,5.42
2007-10-12,1.33,5.67,0.71,3.49,8.1
2007-10-13,1.34,5.7,0.67,2.64,5.88
2007-10-14,1.43,6.08,2.03,5.2,4.95
2007-10-15,0.88,3.72,0.74,0.24,5.32
2007-10-16,1.36,5.82,0.0,5.47,6.86
2007-10-17,1.1,4.64,0.74,0.31,6.23
2007-10-18,1.05,4.43,0.81,0.22,6.85
2007-10-19,1.45,6.1,0.9,2.17,8.09
2007-10-20,1.15,4.81,1.64,0.21,9.18
2007-10-21,1.35,5.7,2.58,3.03,5.08
2007-10-22,1.15,4.81,0.0,0.21,9.05
2007-10-23,1.36,5.71,0.74,3.61,7.43
2007-10-24,1.3,5.47,3.1,0.25,6.33
2007-10-25,1.29,5.41,1.03,1.69,5.13
2007-10-26,1.0,4.37,0.0,0.24,4.0
2007-10-27,1.24,5.31,0.95,3.37,6.21
2007-10-28,0.36,1.49,0.0,0.2,1.23
2007-10-29,0.38,1.57,0.0,0.19,1.91
2007-10-30,0.56,2.35,0.0,1.34,2.96
2007-10-31,0.89,3.74,0.0,3.26,6.19
2007-11-01,0.34,1.44,0.0,0.2,1.38
2007-11-02,1.0,4.2,0.93,1.47,8.5
2007-11-03,0.34,1.43,0.0,0.2,1.34
2007-11-04,1.03,4.38,0.0,3.05,4.91
2007-11-05,1.04,4.4,0.88,0.28,4.57
2007-11-06,1.45,6.15,0.77,3.83,7.42
2007-11-07,1.28,5.48,3.5,0.21,4.43
2007-11-08,1.04,4.43,1.19,0.22,4.51
2007-11-09,1.51,6.37,0.0,3.18,10.68
2007-11-10,1.81,7.71,2.57,0.21,9.56
2007-11-11,1.31,5.54,2.39,0.22,4.18
2007-11-12,1.5,6.27,0.71,2.89,9.22
2007-11-13,1.54,6.45,0.68,3.43,7.69
2007-11-14,1.42,5.94,0.73,0.2,11.35
2007-11-15,1.04,4.4,1.12,0.4,5.21
2007-11-16,1.6,6.72,1.38,3.24,9.42
2007-11-17,1.81,7.6,1.8,1.53,10.41
2007-11-18,1.52,6.35,3.61,1.46,4.91
2007-11-19,1.2,5.01,0.76,0.18,7.47
2007-11-20,1.46,6.09,0.7,2.75,7.66
2007-11-21,1.22,5.11,0.79,0.38,6.57
2007-11-22,1.34,5.66,1.99,0.21,6.25
2007-11-23,1.75,7.34,1.51,4.29,9.5
2007-11-24,1.32,5.51,1.09,2.87,9.34
2007-11-25,0.97,4.09,2.47,0.19,3.94
2007-11-26,1.09,4.6,0.76,0.2,6.2
2007-11-27,1.95,8.16,0.74,7.65,10.49
2007-11-28,1.14,4.78,0.82,0.53,5.42
2007-11-29,1.19,5.02,1.41,0.2,6.13
2007-11-30,1.62,6.76,0.0,5.51,9.45
2007-12-01,2.18,9.19,6.5,0.25,12.39
2007-12-02,2.05,8.62,1.45,4.8,7.39
2007-12-03,1.22,5.17,0.79,0.21,7.24
2007-12-04,1.44,6.05,0.7,4.05,5.95
2007-12-05,1.5,6.35,2.38,0.2,7.58
2007-12-06,1.73,7.34,3.3,0.22,8.27
2007-12-07,1.23,5.16,0.32,2.58,7.13
2007-12-08,1.54,6.51,0.79,1.63,8.53
2007-12-09,1.58,6.7,2.9,1.69,6.06
2007-12-10,1.22,5.17,0.77,0.19,5.75
2007-12-11,1.6,6.71,0.73,2.65,8.85
2007-12-12,1.1,4.59,0.8,0.18,5.39
2007-12-13,1.28,5.42,0.77,1.01,6.19
2007-12-14,1.37,5.76,0.68,2.67,8.99
2007-12-15,1.9,7.98,1.18,2.56,9.94
2007-12-16,1.92,7.99,2.37,1.58,8.98
2007-12-17,1.25,5.19,1.14,0.17,7.34
2007-12-18,1.82,7.6,0.78,4.03,7.7
2007-12-19,1.53,6.33,0.86,1.85,8.11
2007-12-20,1.35,5.61,1.29,0.19,9.44
2007-12-21,1.38,5.71,0.83,0.14,8.51
2007-12-22,1.81,7.59,2.65,3.16,8.8
2007-12-23,1.67,6.98,1.37,2.15,8.31
2007-12-24,1.57,6.55,2.07,1.61,9.97
2007-12-25,1.87,7.79,3.19,2.34,6.31
2007-12-26,1.79,7.43,0.77,1.93,6.58
2007-12-27,1.76,7.4,2.86,1.03,5.53
2007-12-28,2.16,9.03,1.38,5.94,10.99
2007-12-29,2.29,9.56,3.36,1.69,10.35
2007-12-30,1.78,7.47,2.5,2.5,9.36
2007-12-31,1.54,6.46,0.0,2.4,9.77
2008-01-01,1.92,7.98,1.71,1.9,8.58
2008-01-02,1.14,4.77,0.0,2.15,6.24
2008-01-03,1.05,4.4,0.78,0.59,4.63
2008-01-04,1.59,6.72,0.86,3.7,8.16
2008-01-05,1.52,6.45,1.47,0.2,10.13
2008-01-06,1.27,5.39,1.37,1.7,5.43
2008-01-07,1.18,4.92,0.89,0.2,7.15
2008-01-08,1.42,5.99,1.53,2.44,6.8
2008-01-09,1.24,5.23,0.81,0.2,6.22
2008-01-10,1.32,5.59,0.91,0.2,6.94
2008-01-11,1.18,4.96,0.88,0.2,5.55
2008-01-12,1.99,8.52,3.88,1.82,7.72
2008-01-13,2.0,8.45,4.52,0.24,6.51
2008-01-14,1.41,6.01,4.11,0.24,6.76
2008-01-15,1.87,7.89,0.54,4.78,10.08
2008-01-16,1.48,6.32,0.81,2.38,6.52
2008-01-17,1.09,4.65,0.7,0.24,6.01
2008-01-18,1.52,6.43,0.72,0.59,10.4
2008-01-19,1.38,5.83,1.75,4.2,5.57
2008-01-20,1.21,5.15,1.23,0.26,3.43
2008-01-21,1.29,5.52,0.0,0.26,7.25
2008-01-22,1.61,6.93,3.24,5.31,5.24
2008-01-23,1.31,5.52,0.78,0.27,9.28
2008-01-24,1.14,4.89,0.77,0.22,4.12
2008-01-25,1.56,6.54,0.0,1.68,7.92
2008-01-26,1.97,8.37,3.42,0.22,10.84
2008-01-27,1.65,6.98,2.59,2.65,5.12
2008-01-28,1.6,6.77,0.79,0.19,8.88
2008-01-29,1.86,7.84,1.03,4.3,7.69
2008-01-30,1.14,4.83,0.0,0.18,5.04
2008-01-31,1.36,5.79,0.81,0.19,6.55
2008-02-01,1.07,4.52,0.23,0.19,5.03
2008-02-02,2.04,8.65,4.34,1.92,10.55
2008-02-03,1.45,6.14,1.61,3.08,5.87
2008-02-04,1.13,4.78,0.81,0.18,6.62
2008-02-05,1.72,7.21,0.76,5.42,9.53
2008-02-06,1.16,4.93,1.47,0.25,5.85
2008-02-07,1.05,4.44,0.0,0.2,5.62
2008-02-08,1.35,5.75,0.65,1.33,6.64
2008-02-09,1.46,6.09,1.42,1.97,7.15
2008-02-10,1.52,6.4,1.78,2.05,7.03
2008-02-11,1.18,4.93,0.71,0.21,6.2
2008-02-12,1.38,5.85,1.4,1.29,8.43
2008-02-13,1.32,5.58,1.76,2.51,5.26
2008-02-14,1.11,4.68,0.9,0.2,6.46
2008-02-15,1.39,5.78,0.77,1.2,9.32
2008-02-16,1.63,6.89,0.75,1.64,8.05
2008-02-17,1.34,5.65,2.21,1.57,4.2
2008-02-18,1.05,4.38,0.0,0.17,7.18
2008-02-19,1.48,6.22,1.31,3.27,7.78
2008-02-20,1.57,6.61,2.54,3.83,5.35
2008-02-21,1.13,4.79,0.0,0.21,5.92
2008-02-22,1.2,5.06,0.81,1.38,7.01
2008-02-23,1.28,5.41,1.17,1.56,6.98
2008-02-24,0.88,3.64,0.52,0.23,7.95
2008-02-25,0.35,1.46,0.0,0.22,1.29
2008-02-26,0.35,1.46,0.0,0.2,1.4
2008-02-27,0.39,1.63,0.0,0.23,2.06
2008-02-28,0.35,1.47,0.0,0.2,1.41
2008-02-29,0.93,3.87,0.0,2.62,5.6
2008-03-01,0.79,3.28,0.0,0.89,1.89
2008-03-02,0.81,3.42,0.0,3.64,1.78
2008-03-03,0.72,2.98,0.0,1.53,1.22
2008-03-04,1.16,4.87,0.87,1.7,6.54
2008-03-05,1.41,5.97,0.8,6.8,3.84
2008-03-06,1.74,7.21,0.75,0.26,4.84
2008-03-07,1.29,5.44,0.86,2.41,6.27
2008-03-08,1.56,6.59,4.37,0.24,5.86
2008-03-09,1.08,4.59,1.81,0.23,2.89
2008-03-10,1.12,4.71,1.4,0.26,6.01
2008-03-11,1.53,6.47,0.88,2.71,8.98
2008-03-12,1.23,5.17,0.78,1.65,7.67
2008-03-13,1.16,4.94,2.27,2.49,3.79
2008-03-14,1.53,6.45,0.68,2.7,10.05
2008-03-15,1.09,4.65,1.77,0.35,4.1
2008-03-16,1.25,5.3,1.66,0.39,7.84
2008-03-17,1.19,5.01,0.16,4.62,6.49
2008-03-18,1.33,5.57,0.8,2.79,8.71
2008-03-19,0.91,3.83,1.47,0.29,4.27
2008-03-20,0.87,3.66,0.77,0.33,4.63
2008-03-21,1.44,6.04,1.51,3.32,9.22
2008-03-22,1.43,6.02,2.31,0.41,8.61
2008-03-23,1.62,6.79,4.36,1.47,9.64
2008-03-24,1.37,5.76,0.79,4.16,4.87
2008-03-25,1.4,5.87,1.56,2.55,9.37
2008-03-26,1.13,4.76,1.77,2.66,5.24
2008-03-27,0.95,3.96,0.0,0.25,6.27
2008-03-28,1.31,5.48,1.61,2.5,8.04
2008-03-29,1.72,7.21,3.58,0.26,11.97
2008-03-30,1.49,6.28,3.5,0.91,6.78
2008-03-31,0.96,4.01,0.76,0.29,6.52
2008-04-01,1.48,6.2,0.75,4.62,10.08
2008-04-02,1.17,5.01,0.77,2.55,5.55
2008-04-03,0.78,3.28,0.0,0.29,4.79
2008-04-04,1.13,4.73,1.48,0.54,9.2
2008-04-05,1.37,5.78,2.03,0.61,9.48
2008-04-06,1.18,4.95,0.78,1.82,5.24
2008-04-07,1.07,4.48,1.68,0.47,6.57
2008-04-08,1.85,7.7,1.91,7.44,12.17
2008-04-09,0.85,3.52,0.0,0.26,6.25
2008-04-10,1.03,4.31,2.26,0.32,4.53
2008-04-11,1.3,5.45,1.25,0.34,10.08
2008-04-12,1.94,8.22,4.91,1.74,10.57
2008-04-13,1.55,6.55,1.77,4.13,9.03
2008-04-14,1.1,4.6,0.0,0.3,7.78
2008-04-15,1.16,4.91,0.82,2.78,6.86
2008-04-16,1.03,4.32,0.58,0.28,7.86
2008-04-17,0.97,4.1,1.19,0.29,6.0
2008-04-18,1.29,5.46,1.51,2.66,7.58
2008-04-19,1.57,6.64,3.0,1.71,10.22
2008-04-20,1.24,5.26,0.72,3.16,7.22
2008-04-21,0.81,3.4,0.0,1.86,4.71
2008-04-22,1.13,4.77,0.67,3.54,7.36
2008-04-23,0.94,3.97,0.96,0.34,5.84
2008-04-24,0.72,3.06,0.88,0.36,3.68
2008-04-25,0.88,3.7,0.57,1.39,6.53
2008-04-26,0.63,2.63,0.0,0.44,2.49
2008-04-27,0.7,2.96,0.48,0.41,3.81
2008-04-28,0.46,1.95,0.0,0.43,1.93
2008-04-29,1.37,5.77,0.97,3.76,7.28
2008-04-30,0.77,3.22,0.73,0.41,4.62
2008-05-01,0.4,1.7,0.0,0.37,1.8
2008-05-02,1.04,4.38,2.16,0.41,6.03
2008-05-03,0.9,3.8,0.69,0.38,4.54
2008-05-04,1.02,4.36,1.52,1.99,3.79
2008-05-05,0.95,4.0,0.7,0.26,7.08
2008-05-06,1.24,5.25,0.94,3.76,8.47
2008-05-07,0.82,3.46,0.72,0.29,4.62
2008-05-08,1.47,6.18,2.55,0.49,8.83
2008-05-09,1.21,5.14,1.55,0.29,8.27
2008-05-10,1.33,5.64,4.83,0.42,8.13
2008-05-11,1.12,4.8,0.39,0.93,4.81
2008-05-12,1.06,4.52,1.45,0.75,8.3
2008-05-13,1.03,4.39,0.57,2.84,5.81
